probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.974429,1492,826568,0,0,0.365986,4076.660114
0.974429,1502,832108,0,0,0.367576,4086.228427
0.974429,1512,837648,0,0,0.368407,4104.153765
0.974429,1522,843188,0,0,0.368907,4125.696007
0.974429,1531,848174,0,0,0.371461,4121.566826
0.974429,1541,853714,0,0,0.3719,4143.591389
0.974429,1551,859254,0,0,0.372689,4161.65207
0.974429,1561,864794,0,0,0.373229,4182.421208
0.976525,1571,870334,0,0,0.441403,3559.102715
0.976525,1581,875874,0,0,0.441414,3581.672607
0.976525,1591,881414,0,0,0.441423,3604.255053
0.976525,1601,886954,0,0,0.441859,3623.325792
0.976525,1611,892494,0,0,0.443982,3628.526413
0.976525,1621,898034,0,0,0.445133,3641.608477
0.976525,1631,903574,0,0,0.445209,3663.451661
0.976525,1641,909114,0,0,0.446074,3678.761746
0.976525,1651,914654,0,0,0.446698,3696.00585
0.976525,1661,920194,0,0,0.447169,3714.478769
0.976525,1671,925734,0,0,0.450118,3712.357369
0.976525,1681,931274,0,0,0.450236,3733.598788
0.976525,1691,936814,0,0,0.450283,3755.415617
0.976525,1701,942354,0,0,0.450776,3773.493979
0.976525,1711,947894,0,0,0.450896,3794.668418
0.976525,1721,953434,0,0,0.451887,3808.473141
0.976525,1731,958974,0,0,0.451997,3829.671083
0.976525,1741,964514,0,0,0.452882,3844.270072
0.976525,1751,970054,0,0,0.45356,3860.566716
0.976525,1761,975594,0,0,0.453998,3878.870954
0.976525,1771,981134,0,0,0.456582,3878.820739
0.976525,1781,986674,0,0,0.457065,3896.598208
0.976525,1791,992214,0,0,0.457592,3913.966938
0.976525,1801,997754,0,0,0.458239,3930.264837
0.976525,1811,1003294,0,0,0.459033,3945.254115
0.976525,1821,1008834,0,0,0.526333,3459.789384
0.976525,1831,1014374,0,0,0.526344,3478.711563
