probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.730328,1738,962852,0,0,0.585736,2967.205678
0.730328,1748,968392,0,0,0.59367,2944.394893
0.730328,1758,973932,0,0,0.594893,2955.151017
0.730328,1768,979472,0,0,0.603949,2927.398004
0.730328,1778,985012,0,0,0.604604,2940.765494
0.730328,1788,990552,0,0,0.604618,2957.239928
0.730328,1798,996092,0,0,0.604631,2973.714807
0.730328,1808,1001632,0,0,0.605271,2987.093587
0.730328,1818,1007172,0,0,0.605801,3000.987312
0.730328,1828,1012712,0,0,0.60715,3010.78654
0.730328,1838,1018252,0,0,0.60755,3025.267067
0.730328,1848,1023792,0,0,0.608298,3037.986737
0.730328,1858,1029332,0,0,0.609297,3049.41578
0.730328,1868,1034872,0,0,0.60996,3062.497898
0.730328,1878,1040412,0,0,0.613264,3062.304657
0.730328,1888,1045952,0,0,0.613894,3075.448385
0.730328,1898,1051492,0,0,0.614777,3087.297878
0.730328,1908,1057032,0,0,0.615664,3099.094185
0.730328,1918,1062572,0,0,0.62215,3082.855745
0.730328,1928,1068112,0,0,0.622795,3095.719999
0.730328,1938,1073652,0,0,0.622808,3111.711121
0.730328,1948,1079192,0,0,0.622822,3127.701569
0.730328,1958,1084732,0,0,0.623457,3140.554826
0.730328,1968,1090272,0,0,0.623585,3155.943925
0.730328,1978,1095812,0,0,0.624875,3165.432739
0.730328,1988,1101352,0,0,0.62819,3164.648635
0.730328,1998,1106892,0,0,0.628214,3180.446682
0.730328,2008,1112432,0,0,0.628886,3192.946398
0.730328,2018,1117972,0,0,0.628899,3208.781835
0.730328,2028,1123512,0,0,0.630838,3214.771884
0.730328,2038,1129052,0,0,0.631425,3227.621776
0.730328,2048,1134592,0,0,0.632447,3238.213545
0.730328,2058,1140132,0,0,0.729818,2819.879791
0.730328,2068,1145672,0,0,0.729831,2833.532771
0.730328,2078,1151212,0,0,0.730512,2844.578758
0.730328,2088,1156752,0,0,0.730526,2858.213675
0.730328,2098,1162292,0,0,0.730842,2870.660129
